Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Year,Month,Quarter,Month Name,Weekday,Profit Margin
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,"1,200",720000,360000,50%,Outlet,2020,4,2,April,Sunday,50.0
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,000",550000,165000,30%,Outlet,2020,4,2,April,Monday,30.0
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500,161875,35%,Outlet,2020,4,2,April,Tuesday,35.0
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000,157500,35%,Outlet,2020,4,2,April,Wednesday,35.0
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,900,540000,162000,30%,Outlet,2020,4,2,April,Thursday,30.0
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,"1,000",650000,162500,25%,Outlet,2020,4,2,April,Friday,25.0
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,875,568750,170625,30%,Outlet,2020,4,2,April,Saturday,30.0
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,"1,000",700000,175000,25%,Outlet,2020,4,2,April,Sunday,25.0
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,"1,150",747500,373750,50%,Outlet,2020,4,2,April,Monday,50.0
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.0,975,536250,160875,30%,Outlet,2020,4,2,April,Tuesday,30.0
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.0,920,506000,177100,35%,Outlet,2020,4,2,April,Wednesday,35.0
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495000,173250,35%,Outlet,2020,4,2,April,Thursday,35.0
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65.0,875,568750,170625,30%,Outlet,2020,5,2,May,Friday,30.0
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70.0,975,682500,170625,25%,Outlet,2020,5,2,May,Saturday,25.0
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.0,"1,200",780000,390000,50%,Outlet,2020,5,2,May,Sunday,50.0
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,000",550000,165000,30%,Outlet,2020,5,2,May,Monday,30.0
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.0,950,522500,182875,35%,Outlet,2020,5,2,May,Tuesday,35.0
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495000,173250,35%,Outlet,2020,5,2,May,Wednesday,35.0
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65.0,900,585000,175500,30%,Outlet,2020,5,2,May,Thursday,30.0
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70.0,"1,000",700000,175000,25%,Outlet,2020,7,3,July,Saturday,25.0
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900,225000,78750,35%,Outlet,2020,7,3,July,Sunday,35.0
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,315000,110250,35%,Outlet,2020,7,3,July,Monday,35.0
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,700,245000,85750,35%,Outlet,2020,7,3,July,Tuesday,35.0
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,245000,110250,45%,Outlet,2020,7,3,July,Wednesday,45.0
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,550,220000,66000,30%,Outlet,2020,7,3,July,Thursday,30.0
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35.0,700,245000,122500,50%,Outlet,2020,7,3,July,Friday,50.0
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850,212500,74375,35%,Outlet,2020,7,3,July,Saturday,35.0
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,850,297500,104125,35%,Outlet,2020,7,3,July,Sunday,35.0
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.0,675,236250,82688,35%,Outlet,2020,7,3,July,Monday,35.000211640211646
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,625,218750,98438,45%,Outlet,2020,7,3,July,Tuesday,45.00022857142857
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40.0,500,200000,60000,30%,Outlet,2020,7,3,July,Wednesday,30.0
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,700,245000,122500,50%,Outlet,2020,7,3,July,Thursday,50.0
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.0,875,262500,91875,35%,Outlet,2020,7,3,July,Friday,35.0
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.0,875,350000,122500,35%,Outlet,2020,8,3,August,Saturday,35.0
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.0,700,245000,85750,35%,Outlet,2020,8,3,August,Sunday,35.0
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.0,600,240000,108000,45%,Outlet,2020,8,3,August,Monday,45.0
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45.0,500,225000,67500,30%,Outlet,2020,8,3,August,Tuesday,30.0
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40.0,650,260000,130000,50%,Outlet,2020,8,3,August,Wednesday,50.0
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.0,900,270000,94500,35%,Outlet,2020,8,3,August,Thursday,35.0
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.0,900,360000,126000,35%,Outlet,2020,8,3,August,Friday,35.0
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.0,725,253750,88813,35%,Outlet,2020,8,3,August,Saturday,35.000197044334975
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.0,625,250000,112500,45%,Outlet,2020,8,3,August,Sunday,45.0
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45.0,525,236250,70875,30%,Outlet,2020,8,3,August,Monday,30.0
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40.0,800,320000,160000,50%,Outlet,2020,8,3,August,Tuesday,50.0
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.0,925,277500,97125,35%,Outlet,2020,8,3,August,Wednesday,35.0
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.0,925,370000,129500,35%,Outlet,2020,8,3,August,Thursday,35.0
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.0,775,271250,94938,35%,Outlet,2020,8,3,August,Friday,35.000184331797236
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000,126000,45%,Outlet,2020,8,3,August,Saturday,45.0
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45.0,600,270000,81000,30%,Outlet,2020,8,3,August,Sunday,30.0
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40.0,950,380000,190000,50%,Outlet,2020,8,3,August,Monday,50.0
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.0,950,380000,133000,35%,Outlet,2020,8,3,August,Tuesday,35.0
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500,149625,35%,Outlet,2020,8,3,August,Wednesday,35.0
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.0,800,320000,112000,35%,Outlet,2020,8,3,August,Thursday,35.0
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.0,750,300000,135000,45%,Outlet,2020,8,3,August,Friday,45.0
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,45.0,650,292500,87750,30%,Outlet,2020,8,3,August,Saturday,30.0
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,50.0,"1,000",500000,250000,50%,Outlet,2020,8,3,August,Sunday,50.0
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.0,950,380000,133000,35%,Outlet,2020,8,3,August,Monday,35.0
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500,149625,35%,Outlet,2020,8,3,August,Tuesday,35.0
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.0,"1,100",440000,154000,35%,Outlet,2020,8,3,August,Wednesday,35.0
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000,126000,45%,Outlet,2020,8,3,August,Thursday,45.0
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,45.0,700,315000,94500,30%,Outlet,2020,8,3,August,Friday,30.0
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,50.0,975,487500,243750,50%,Outlet,2020,8,3,August,Saturday,50.0
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.0,925,370000,129500,35%,Outlet,2020,8,3,August,Sunday,35.0
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.0,925,416250,145688,35%,Outlet,2020,8,3,August,Monday,35.00012012012012
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.0,"1,100",440000,154000,35%,Outlet,2020,9,3,September,Tuesday,35.0
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.0,650,260000,117000,45%,Outlet,2020,9,3,September,Wednesday,45.0
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,45.0,650,292500,87750,30%,Outlet,2020,9,3,September,Thursday,30.0
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,50.0,900,450000,225000,50%,Outlet,2020,9,3,September,Friday,50.0
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.0,850,382500,133875,35%,Outlet,2020,9,3,September,Saturday,35.0
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.0,850,382500,133875,35%,Outlet,2020,9,3,September,Sunday,35.0
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.0,900,450000,157500,35%,Outlet,2020,9,3,September,Monday,35.0
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500,140625,45%,Outlet,2020,9,3,September,Tuesday,45.0
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,45.0,625,281250,84375,30%,Outlet,2020,9,3,September,Wednesday,30.0
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,55.0,850,467500,233750,50%,Outlet,2020,9,3,September,Thursday,50.0
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.0,800,360000,126000,35%,Outlet,2020,9,3,September,Friday,35.0
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.0,800,360000,126000,35%,Outlet,2020,9,3,September,Saturday,35.0
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.0,750,375000,131250,35%,Outlet,2020,9,3,September,Sunday,35.0
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.0,600,300000,135000,45%,Outlet,2020,9,3,September,Monday,45.0
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,45.0,575,258750,77625,30%,Outlet,2020,9,3,September,Tuesday,30.0
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,55.0,750,412500,206250,50%,Outlet,2020,9,3,September,Wednesday,50.0
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.0,900,405000,141750,35%,Outlet,2020,10,4,October,Tuesday,35.0
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.0,900,405000,141750,35%,Outlet,2020,10,4,October,Wednesday,35.0
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.0,825,412500,144375,35%,Outlet,2020,10,4,October,Thursday,35.0
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.0,675,337500,151875,45%,Outlet,2020,10,4,October,Friday,45.0
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,45.0,650,292500,87750,30%,Outlet,2020,10,4,October,Saturday,30.0
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,55.0,850,467500,233750,50%,Outlet,2020,10,4,October,Sunday,50.0
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.0,950,427500,149625,35%,Outlet,2020,10,4,October,Monday,35.0
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500,149625,35%,Outlet,2020,10,4,October,Tuesday,35.0
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.0,850,425000,148750,35%,Outlet,2020,10,4,October,Wednesday,35.0
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.0,700,350000,157500,45%,Outlet,2020,10,4,October,Thursday,45.0
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,45.0,650,292500,87750,30%,Outlet,2020,10,4,October,Friday,30.0
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,55.0,900,495000,247500,50%,Outlet,2020,10,4,October,Saturday,50.0
West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,40.0,775,310000,108500,35%,Outlet,2020,11,4,November,Sunday,35.0
West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50.0,775,387500,77500,20%,Outlet,2020,11,4,November,Monday,20.0
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,50.0,775,387500,135625,35%,Outlet,2020,11,4,November,Tuesday,35.0
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500,93750,30%,Outlet,2020,11,4,November,Wednesday,30.0
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,55.0,575,316250,158125,50%,Outlet,2020,11,4,November,Thursday,50.0
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,50.0,775,387500,58125,15%,Outlet,2020,11,4,November,Friday,15.0
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.0,825,330000,115500,35%,Outlet,2020,11,4,November,Saturday,35.0
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50.0,725,362500,72500,20%,Outlet,2020,11,4,November,Sunday,20.0
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,50.0,725,362500,126875,35%,Outlet,2020,11,4,November,Monday,35.0
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50.0,575,287500,86250,30%,Outlet,2020,11,4,November,Tuesday,30.0
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,55.0,500,275000,137500,50%,Outlet,2020,11,4,November,Wednesday,50.0
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,50.0,700,350000,52500,15%,Outlet,2020,11,4,November,Thursday,15.0
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,50.0,850,425000,148750,35%,Outlet,2020,11,4,November,Friday,35.0
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60.0,700,420000,84000,20%,Outlet,2020,11,4,November,Saturday,20.0
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,60.0,700,420000,147000,35%,Outlet,2020,11,4,November,Sunday,35.0
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60.0,600,360000,108000,30%,Outlet,2020,12,4,December,Tuesday,30.0
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,65.0,500,325000,162500,50%,Outlet,2020,12,4,December,Wednesday,50.0
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,60.0,700,420000,63000,15%,Outlet,2020,12,4,December,Thursday,15.0
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,60.0,875,525000,183750,35%,Outlet,2020,12,4,December,Friday,35.0
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65.0,675,438750,87750,20%,Outlet,2020,12,4,December,Saturday,20.0
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,65.0,725,471250,164938,35%,Outlet,2020,12,4,December,Sunday,35.00010610079576
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60.0,625,375000,112500,30%,Outlet,2020,12,4,December,Monday,30.0
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,65.0,525,341250,170625,50%,Outlet,2020,12,4,December,Tuesday,50.0
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,80.0,700,560000,84000,15%,Outlet,2020,12,4,December,Wednesday,15.0
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,60.0,900,540000,216000,40%,Outlet,2020,12,4,December,Thursday,40.0
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65.0,750,487500,121875,25%,Outlet,2021,1,1,January,Friday,25.0
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,65.0,750,487500,195000,40%,Outlet,2021,1,1,January,Saturday,40.0
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60.0,650,390000,136500,35%,Outlet,2021,1,1,January,Sunday,35.0
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,65.0,550,357500,196625,55%,Outlet,2021,1,1,January,Monday,55.00000000000001
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,80.0,725,580000,116000,20%,Outlet,2021,1,1,January,Tuesday,20.0
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,60.0,975,585000,234000,40%,Outlet,2021,1,1,January,Wednesday,40.0
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65.0,825,536250,134063,25%,Outlet,2021,1,1,January,Thursday,25.00009324009324
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,65.0,825,536250,214500,40%,Outlet,2021,1,1,January,Friday,40.0
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60.0,700,420000,147000,35%,Outlet,2021,1,1,January,Saturday,35.0
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,65.0,575,373750,205563,55%,Outlet,2021,1,1,January,Sunday,55.00013377926422
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,80.0,875,700000,140000,20%,Outlet,2021,1,1,January,Monday,20.0
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,60.0,"1,025",615000,215250,35%,Outlet,2021,1,1,January,Tuesday,35.0
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65.0,875,568750,113750,20%,Outlet,2021,1,1,January,Wednesday,20.0
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.0,825,536250,187688,35%,Outlet,2021,1,1,January,Thursday,35.000093240093236
West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60.0,725,435000,130500,30%,Outlet,2021,1,1,January,Friday,30.0
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,65.0,775,503750,251875,50%,Outlet,2021,1,1,January,Saturday,50.0
